LfNr,Nachname,Vorname,Geschlecht,PLZ,Ort,Strasse,Hausnummer
86,Bauer,Till,M,99976,Menteroda,Gotenweg,142
87,Nitsche,Nikolas,M,54597,Wallersheim,Fritz-Keller-Weg,178
88,Vogler,Marlies,W,27367,Sottrum,Sievernicher Straße,175
89,Ullrich,Heinz,M,47167,Duisburg,Am Rosssteig,40
90,Singer,Marina,W,24250,Bothkamp,Am Sandberg,90
91,Adler,Frauke,W,42657,Solingen,Rhönstraße,73
92,Schweiger,Theresa,W,55442,Roth,Im Schubigsfeld,81
93,Strauß,Marko,M,29378,Wittingen,Kupfermühle,17
94,Petersen,Leon,M,94577,Winzer,Arnoldsweilerweg,16
95,Ullrich,Richard,M,30827,Garbsen,Im Pützbroich,2
96,Heuer,Vivienne,W,6917,Jessen (Elster),Rurbenden,191
97,Schuler,Henrik,M,7646,Oberbodnitz,Stockheimer Landstraße,111
98,Frick,Wolfram,M,49497,Mettingen,Violengasse,166
99,Brandt,Emine,W,18320,Ahrenshagen-Daskow,Uhlandstraße,44
100,Gruber,Moritz,M,99098,Erfurt,Martinusstraße,157
101,Jordan,Mandy,W,21274,Undeloh,Briandstraße,9
102,Rößler,Jörn,M,87650,Baisweil,Rudolf-Diesel-Straße,51
103,Schlegel,Gisela,W,56472,Nisterau,Nikolaus-Ehlen-Straße,68
104,Loos,Falk,M,86986,Schwabbruck,Schumannweg,29
105,Jakob,Anja,W,55234,Nieder-Wiesen,Im Reuter,103
106,Wendel,Leo,M,55127,Mainz,Robert-Koch-Straße,49
107,Lukas,Ludwig,M,79263,Simonswald,An den Stadtwerken,107
108,Thiemann,Ina,W,93096,Köfering,Cyriakusstraße,42
109,Kling,Gerald,M,90443,Nürnberg,Fontanestraße,159
110,Andres,Mario,M,94428,Eichendorf,Nideggener Straße,22
111,Schaller,Anita,W,54636,Brecht,Am Pletzerturm,179
112,Marx,Erhard,M,39164,Wanzleben-Börde,Wieselsmaar,7
113,Herr,Christel,W,23992,Passee,Zum Friesenhof,28
114,Kroll,Sascha,M,54298,Aach,Buchenstraße,79
115,Glaser,Axel,M,19288,Ludwigslust,Freiheitsstraße,62
116,Buchner,Alena,W,19075,Warsow,Duffesbach,161
117,Friese,Ingrid,W,66953,Pirmasens,Hovener Straße,165
118,Decker,Jana,W,25436,Tornesch,Kallsgasse,198
119,Riemer,Margarethe,W,24222,Schwentinental,Zum Richelnberg,141
120,Beckmann,Michel,M,84435,Lengdorf,Fritz-Pley-Straße,172
121,Palm,Patricia,W,25495,Kummerfeld,Fuggerstraße,23
122,Heckmann,Helga,W,38709,Clausthal-Zellerfeld,Eibenweg,8
123,Geiger,Jacqueline,W,84387,Julbach,Dr.-Christian-Seybold-Straße,8
124,Dorn,Margret,W,74639,Zweiflingen,Am Burgauer Busch,35
125,Leonhardt,Paul,M,49832,Freren,Pollesmaar,90
126,Ruf,Marcel,M,55578,Gau-Weinheim,Johanniterstraße,54
127,Klose,Irina,W,74429,Sulzbach-Laufen,Am Gieselspfad,194
128,Kratz,Almuth,W,56220,Kettig,Zum Bruch,187
129,Klemm,Hannelore,W,24799,Meggerdorf,Tannenbergstraße,2
130,Klug,Vanessa,W,98639,Rippershausen,Ricarda-Huch-Straße,25
131,Ewald,Dietmar,M,44137,Dortmund,Echternacher Straße,179
132,Hoppe,Wolf,M,54316,Hockweiler,Cormeillesstraße,191
133,Specht,Theresa,W,53547,Dattenberg,Möschengasse,185
134,Westphal,Emma,W,53359,Rheinbach,An der Schießruthe,186
135,Hinrichs,Bodo,M,1328,Dresden,Wittenauer Straße,189
136,Kaufmann,Vivian,M,55444,Eckenroth,Albrecht-Dürer-Straße,36
137,Böttcher,Ben,M,56626,Andernach,Kettelerstraße,169
138,Seibert,Ariane,W,1594,Riesa,Wewordenstraße,83
139,Schreiner,Linda,W,96151,Breitbrunn,Nietzscheweg,53
140,Glaser,Rosemarie,W,23936,Roggenstorf,Genter Straße,170
141,Volk,Melissa,W,23556,Lübeck,Ernst-Bloch-Weg,136
142,Loos,Marek,M,24114,Kiel,Wernersstraße,86
143,Ulbrich,Heidrun,W,51467,Köln,Zum Katzbach,128
144,Ebeling,Natascha,W,20359,Hamburg,Cannstatter Straße,103
145,Schlüter,Tanja,W,52062,Aachen,Einsteinstraße,138
146,Wüst,Benedikt,M,64283,Darmstadt,Aachener Straße,155
147,Sonntag,Gudrun,W,1099,Dresden,Wachtelweg,16
148,Brüggemann,Kathleen,W,8223,Werda,Paradiesstraße,196
149,Gerhardt,Eckard,M,31180,Giesen,Wilhelm-Schüll-Straße,60
150,Rühl,Saskia,W,99189,Ringleben,Arnold-Decker-Platz,98
151,Brenner,Christel,W,55624,Gösenroth,Erftstraße,193
152,Dörr,Janina,W,37434,Gieboldehausen,Kufferather Platz,113
153,Springer,Doreen,W,94336,Windberg,Bonner Platz,157
154,Ehlert,Gregor,M,66693,Mettlach,Moselstraße,16
155,Büchner,Barbara,W,91598,Colmberg,Hüttenstraße,120
156,Geyer,Lasse,M,4129,Leipzig,Schoellerstraße,150
157,Klemm,Carmen,W,56220,Kaltenengers,Viandener Straße,24
158,Thoma,Ismail,M,38476,Barwedel,Am Knozwinkel,198
159,Schuler,Nikolai,M,56814,Greimersburg,Im Kohnental,34
160,Struck,Johanna,W,7429,Döschnitz,Violengasse,24
161,Siegel,Abdul,M,91083,Baiersdorf,Rather Straße,94
162,Reichel,Dagmar,W,82057,Icking,Tuchmühle,7
163,Petri,Danuta,W,24357,Güby,Falkenweg,157
164,Rehm,Joachim,M,94371,Rattenberg,Sachsenstraße,78
165,Neugebauer,Dietrich,M,36043,Fulda,Parkstraße,98
166,Heitmann,Manfred,M,83242,Reit im Winkl,Schulstraße,74
167,Eisele,Manuel,M,65549,Limburg a. d. Lahn,Wenzel-Hollar-Straße,16
168,Stumpf,Sofie,W,67823,Unkenbach,Markusstraße,53
169,Springer,Johannes,M,26892,Heede,Neue Aue,120
170,Reis,Dorothee,W,67227,Frankenthal (Pfalz),Bismarckstraße,36
171,Meister,Ina,W,87760,Lachen,Danziger Straße,9
172,Hermes,Victor,M,56355,Weidenbach,Breitenbend,15
173,Link,Riko,M,19065,Gneven,Odenthalstraße,90
174,Ruf,Norbert,M,54518,Dodenburg,Antwerpener Straße,130
175,Harms,Danuta,W,23816,Groß Niendorf,Sattlerstraße,100
176,Christ,Judith,W,56651,Niederzissen,Auf der Alten Kirche,75
177,Kahl,Franziska,W,56412,Daubach,Josef-Ebertz-Platz,84
178,Hopp,Torben,M,2829,Schöpstal,Hallmannsstraße,115
179,Haase,Carolin,W,86161,Augsburg,Auf dem Horstert,87
180,Maas,Dietmar,M,57587,Birken-Honigsessen,Markusstraße,105
181,Klemm,Pierre,M,56729,Welschenbach,Schneidhausener Weg,169
182,Baumann,Roland,M,97353,Wiesentheid,Neue Aue,118
183,Trapp,Hartwig,M,22145,Braak,Stresemannstraße,17
184,Frey,Cindy,W,56829,Brieden,Schroederstraße,175
185,Grube,Roger,M,56567,Neuwied,Kerpener Straße,34
186,Kowalski,Ludwig,M,21522,Hohnstorf (Elbe),Berliner Straße,142
187,Betz,Paul,M,82399,Raisting,Clemensstraße,148
188,Keck,Simon,M,25992,List auf Sylt,Zur Kesselkaul,190
189,Krebs,Michael,M,55767,Rinzenberg,Weberstraße,27
190,Dürr,Erhard,M,91257,Pegnitz,Trift,136
191,Konrad,Beate,W,97475,Zeil am Main,Stefan-Schwer-Straße,72
192,Adam,Lars,M,73563,Mögglingen,Blumenthalstraße,65
193,Bastian,Barbara,W,56357,Gemmerich,August-Lüdenbach-Straße,154
194,Reiß,Annette,W,25436,Moorrege,Pfarrer Ginnen-Straße,173
195,Kröger,Alina,W,52372,Kreuzau,Nideggener Straße,103
196,Emmerich,Johanna,W,31626,Haßbergen,Valencienner Straße,62
197,Feldmann,Lasse,M,63846,Laufach,Wiesenstraße,50
198,Pfeiffer,Friedhelm,M,54340,Riol,Konzendorfer Straße,188
199,Unger,Simon,M,24794,Schacht-Audorf,Schwarzenbroichstraße,146
200,Mielke,Adam,M,51709,Marienheide,Sachsenstraße,193
201,Yilmaz,Maurice,M,86653,Monheim,Boisdorfer Weg,89
202,Jacobi,Tilmann,M,55276,Oppenheim,Nörvenicher Straße,172
203,Gehrmann,Birgit,W,52477,Alsdorf,Oberstraße,12
204,Timm,Gudrun,W,34513,Korbach,Auf dem Hammer,76
205,Heuer,Steve,M,40219,Düsseldorf,Am Kühlen Graben,13
206,Rohde,Adrian,M,45143,Essen,Schenkelstraße,163
207,Schaller,Karl,M,54295,Trier,An den Stadtwerken,103
208,Resch,Franziska,W,23845,Seth,Otto-Suhr-Straße,48
209,Bayer,Celina,W,87781,Ungerhausen,Velinstraße,45
210,Oswald,Anita,W,54636,Idenheim,Trierer Straße,3
211,Lorenzen,Roswita,W,84405,Dorfen,Möschengasse,148
212,Hirsch,Frederik,M,57612,Helmeroth,Antoniusstraße,1
213,Schlosser,Bastian,M,82140,Olching,Martin-Luther-Platz,159
214,Hampel,Bernhard,M,42551,Velbert,Beythaler Straße,197
215,Zahn,Marita,W,18573,Dreschvitz,Am Nordpark,199
216,Bosch,Magdalena,W,63526,Erlensee,Schneidhausener Weg,152
217,Trapp,Ilka,W,31558,Hagenburg,Otto-Brenner-Straße,108
218,Appel,Aylin,W,44575,Castrop-Rauxel,Monschauer Landstraße,137
219,Horn,Jean,M,97072,Würzburg,Wallstraße,137
220,Hille,Arthur,M,65558,Kaltenholzhausen,Im Tiergarten,124
221,Betz,Günter,M,78567,Fridingen an der Donau,Karl-Arnold-Straße,115
222,Behnke,Kim,M,79252,Stegen,Pfalzstraße,173
223,Buchmann,Rüdiger,M,32351,Stemwede,Schevenhüttener Straße,2
224,Krebs,Cindy,W,25746,Ostrohe,Höfchen,10
225,Grube,Julien,M,48480,Spelle,Wüstweilerstraße,20
226,Erdmann,Nina,W,25524,Kollmoor,Ursulastraße,188
227,Wächter,Astrid,W,66128,Saarbrücken,Schlehdornweg,158
228,Drechsler,Hendrik,M,33689,Bielefeld,Ottensgasse,108
229,Walter,Sven,M,18442,Wendorf,Auf dem Hahnberg,174
230,Ehrhardt,Jörn,M,55546,Frei-Laubersheim,Ellener Straße,153
231,Hecht,Abdul,M,97653,Bischofsheim a.d.Rhön,Schlicher Straße,71
232,Freund,Gunter,M,8393,Dennheritz,Paradiesstraße,78
233,Sieber,Bodo,M,39343,Hohe Börde,Heinrich-Gossen-Straße,21
234,Bühler,Franziska,W,25767,Bunsoh,An der Schießruthe,46
235,Engelmann,Bernhard,M,56379,Horhausen,Hauptstraße,46
236,Weiland,Christian,M,89197,Weidenstetten,Rathenaustraße,166
237,Pfeffer,Raphael,M,21365,Adendorf,Im Rossfeld,41
238,Bartels,Mehmet,M,54539,Ürzig,Trift,117
239,Zeller,Ursel,W,23564,Lübeck,Engengraben,195
240,Pfaff,Lothar,M,58453,Witten,Tannenweg,72
241,Will,Nadine,W,79232,March,Auf der Komm,100
242,Pahl,Helen,W,66887,Bosenbach,Akazienstraße,6
243,Reichel,Vivienne,W,69434,Eberbach,Trierbachweg,194
244,Maas,Herbert,M,14943,Luckenwalde,Rather Straße,39
245,Bruns,Julian,M,79730,Murg,Annabergweg,193
246,Bräuer,Jutta,W,56349,Kaub,Veldener Straße,66
247,Frank,Sarah,W,94377,Steinach,Wewordenstraße,67
248,Giese,Ibrahim,M,63768,Hösbach,An der Kuhbrücke,155
249,Weiland,Helena,W,28199,Bremen,Fuggerstraße,53
250,Weinert,Eberhard,M,57629,Streithausen,Dechant-Vaßen-Straße,83
251,Opitz,Erik,M,91257,Pegnitz,Genter Straße,142
252,Hartl,Claudia,W,56355,Lautert,Am Fuchsberg,117
253,Kramer,Juliane,W,47608,Geldern,Neuhausgäßchen,147
254,Bartsch,Marianne,W,56567,Neuwied,Sophienhof,74
255,Berger,Beatrix,W,81475,München,Annaplatz,60
256,Peter,Armin,M,40225,Düsseldorf,Zum Mühlengraben,189
257,Friedrich,Benjamin,M,30179,Hannover,Körnerstraße,45
258,Büttner,Lukas,M,37603,Holzminden,Schoellerstraße,99
259,Borchert,Roland,M,7589,Bocka,Tischlerstraße,76
260,Schroeder,Denise,W,93199,Zell,Markusstraße,68
261,Wulff,Jonas,M,39343,Altenhausen,Boisdorfer Weg,186
262,Wacker,Ulf,M,87640,Biessenhofen,Wüstweilerstraße,171
263,Gerdes,Konstantin,M,21493,Groß Pampau,Hof Rottfeld,2
264,Hoffmann,Dennis,M,89186,Illerrieden,Sachsenstraße,198
265,Heidenreich,Cornelius,M,91623,Sachsen bei Ansbach,Zum Berzberg,127
266,Schnabel,Achim,M,29562,Suhlendorf,Pfarrer-Rody-Straße,36
267,Hoppe,Merle,W,95494,Gesees,Ursulastraße,185
268,Amann,Andrea,W,60313,Frankfurt am Main,Rosenweg,8
269,Ehrlich,Heiner,M,76706,Dettenheim,Auf dem Bruchkamp,164
270,Pfister,Jochen,M,85540,Haar,Am Burgauer Busch,51
271,Hille,Ronny,M,55595,Sommerloch,Laubenweg,92
272,Borchert,Bernd,M,56271,Maroth,Sophienhof,42
273,Petry,Gabi,W,56329,Sankt Goar,Ackerstraße,175
274,Kunze,Regine,W,87497,Wertach,Mörikestraße,61
275,Bischoff,Marlies,W,67551,Worms,Raiffeisenstraße,120
276,Hennig,Hella,W,1774,Klingenberg,Lagerstraße,165
277,Kuhn,Karl,M,27570,Bremerhaven,Am Kirchendriesch,148
278,Schleicher,Beate,W,1877,Schmölln-Putzkau,Am Lindenbaum,179
279,Lohmann,Raphael,M,91327,Gößweinstein,Zur Lohe,72
280,Ehlert,Christina,W,13347,Berlin,Eschstraße,159
281,Ebel,Jens,M,97348,Markt Einersheim,Zollhausstraße,20
282,Bittner,Willi,M,6249,Mücheln (Geiseltal),Schopenhauerweg,23
283,Baur,Dietrich,M,86865,Markt Wald,Kaisersbenden,76
284,Nowak,Gunnar,M,39356,Flechtingen,Kirchfeld,33
285,Arnold,Vladimir,M,34639,Schwarzenborn,Maternusstraße,45
286,Ruf,Adam,M,87544,Blaichach,Miesheimer Weg,149
287,Hammer,Judith,W,87549,Rettenberg,An der Schießruthe,112
288,Jäger,Alice,W,23847,Pölitz,Waidfeld,105
289,Engelhardt,Hartwig,M,29303,Südheide,Farbmühlenstraße,173
290,Ebel,Kirsten,W,63674,Altenstadt,Gerhard-Fuß-Straße,100
291,Heil,Peer,M,85117,Eitensheim,Gotenweg,114
292,Brenner,Yvonne,W,55758,Wirschweiler,Hans-Brückmann-Straße,115
293,Weiss,Felix,M,93098,Mintraching,Ernst-Bloch-Weg,22
294,Thomas,Jörg,M,79312,Teningen,Hölderlinweg,63
295,Brandes,Hannes,M,57629,Heimborn,Birkesdorfer Straße,97
296,Heuer,Vivian,M,36119,Neuhof,Georgstraße,111
297,Hammer,Ilse,W,2791,Oderwitz,Paradiesstraße,42
298,Seeger,Simone,W,55276,Oppenheim,Dr.-Decker-Straße,80
299,Kratz,Thilo,M,53520,Meuspath,Eisenbahnstraße,95
300,Gehrke,Andi,M,57612,Kroppach,Kufferather Platz,195
301,Radtke,Sophia,W,27419,Vierden,Freiheitsstraße,112
302,Hagedorn,Alexandra,W,26123,Oldenburg,Vischenichstraße,10
303,Wolff,Carolina,W,40625,Düsseldorf,Krauthausener Straße,72
304,Wegener,Margot,W,55595,Sponheim,Arnold-Decker-Platz,1
305,Häusler,Volker,M,25774,Groven,Blochfeld,40
306,Kurz,Jochen,M,71159,Mötzingen,Fritz-Pley-Straße,73
307,Ebert,Harry,M,54424,Burtscheid,Rudolf-Schock-Platz,135
308,Hausmann,Franz,M,25576,Brokdorf,Friedensplatz,76
309,Hammer,Christine,W,18320,Schlemmin,Dorfstraße,76
310,Jacob,Danny,M,58119,Hagen,Antwerpener Straße,64
311,Petry,Konstanze,W,38829,Harsleben,Lilienstraße,24
312,Hardt,Juliane,W,27570,Bremerhaven,Echtzer Straße,83
313,Witte,Dirk,M,97258,Gollhofen,Am Jesuitenhof,96
314,Krieg,Otto,M,12247,Berlin,Rudolf-Diesel-Straße,39
315,John,Stefan,M,60549,Frankfurt am Main,Lindenbergskamp,19
316,Otte,Mona,W,87660,Irsee,Freiheitsplatz,102
317,Fritzsche,Albert,M,9390,Gornsdorf,Am Rurufer,149
318,Walz,Sebastian,M,63853,Mömlingen,Wilhelm-Wester-Weg,2
319,Huth,Celina,W,86875,Waal,Eichendorffstraße,20
320,Wacker,Dominik,M,56412,Niedererbach,Am Nordpark,158
321,Henze,Jannis,M,9661,Striegistal,Ernst-Ohst-Straße,172
322,Bertram,Lisa,W,17391,Krusenfelde,Zum Volkspark,196
323,Adams,Ahmad,M,54426,Hilscheid,Zehnthofstraße,24
324,Pfaff,Alice,W,1776,Hermsdorf/Erzgebirge,Girbelsrather Straße,167
325,Koller,Fabio,M,37339,Breitenworbis,Zum Volkspark,37
326,Wilhelm,Evelyn,W,2708,Rosenbach,Schevenhüttener Straße,171
327,Palm,Agnes,W,37318,Wahlhausen,Dechant-Vaßen-Straße,44
328,Wimmer,Marion,W,76857,Silz,Am Fuchsberg,61
329,Reinhold,Manuela,W,94255,Böbrach,Eiswiese,79
330,Westermann,Detlef,M,76756,Bellheim,Breite Straße,180
331,Merten,Tobias,M,12683,Berlin,In der Mühlenau,1
332,Reimann,Ulrich,M,97258,Oberickelsheim,Annakirmesplatz,182
333,Koch,Ursula,W,22399,Hamburg,Neue Straße,23
334,Mende,Alena,W,9509,Pockau-Lengefeld,Weberstraße,94
335,Jakobs,Holger,M,45479,Mülheim an der Ruhr,Nörvenicher Straße,191
336,Rogge,Birgit,W,56753,Mertloch,Peterstraße,197
337,Paulsen,Kay,W,14550,Groß Kreutz (Havel),Am Weckshof,49
338,Böhme,Marc,M,17419,Garz,Franziskanerstraße,118
339,Steffens,Maria,W,17375,Ahlbeck,An der Garnbleiche,6
340,Gottwald,Hauke,M,39606,Altmärkische Höhe,Ernst-Reuter-Straße,181
341,Kempf,Linus,M,25358,Hohenfelde,Cornelystraße,184
342,Buchholz,Tina,W,6647,Bad Bibra,Constanze-Königsfeld-Weg,195
343,Schweiger,Gina,W,63741,Aschaffenburg,Brigidastraße,94
344,Bohn,Eike,M,57632,Walterschen,Am Rurufer,176
345,Lerch,Fabian,M,22047,Hamburg,Neue Straße,18
346,Jacobs,Victor,M,35282,Rauschenberg,Victor-Gollancz-Straße,4
347,Weller,Ivan,M,91749,Wittelshofen,Kampstraße,63
348,Köhler,Thomas,M,86692,Münster,Bertramsweg,111
349,Neubert,Dietmar,M,67549,Worms,Wirteltorplatz,114
350,Drews,Ulrich,M,84174,Eching,Mörikestraße,174
351,Mahler,Sascha,M,54584,Gönnersdorf,Am Hagedorn,173
352,Yilmaz,Leonard,M,40721,Hilden,Grube-Alfred-Straße,61
353,Stoll,Cornelius,M,13055,Berlin,Birkenalle,70
354,Bühler,Sina,W,3048,Cottbus - Chóśebuz,Kerpener Straße,194
355,Rademacher,Darius,M,18181,Graal-Müritz,Bergheimer Straße,96
356,Ziegler,Brigitta,W,17192,Kargow,Freiheitsplatz,40
357,Bertram,Anton,M,31036,Eime,Ottensgasse,114
358,Hartmann,Ibrahim,M,86871,Rammingen,Schillerstraße,170
359,Wüst,Friederike,W,88719,Stetten,Poliusstraße,150
360,Hummel,Kimberly,W,9221,Neukirchen/Erzgebirge,Eldernweg,166
361,Sachs,Sebastian,M,71560,Oppenweiler,Tuchbleiche,61
362,Kluge,Egon,M,24539,Neumünster,Tannenbergstraße,14
363,Siebert,Lilly,W,4626,Göllnitz,Bongard,37
364,Schreiner,Inge,W,23779,Neukirchen,Brüsseler Straße,169
365,Albrecht,Josef,M,12437,Berlin,Willi-Bleicher-Straße,31
366,Hecht,Jacqueline,W,76703,Kraichtal,Friedhofstraße,6
367,Rother,Anton,M,58708,Menden,Zum Roten Kreuz,44
368,Cremer,Regine,W,24568,Kaltenkirchen,Hubert-Gasper-Straße,197
369,Kraus,Tamara,W,97877,Wertheim,Ursulastraße,180
370,Singer,Janine,W,67361,Freisbach,Am Knozwinkel,42
371,Ahler,Leon,M,88138,Sigmarszell,Wechselsaat,99
372,Finke,Annika,W,54675,Roth an der Our,Im Dunklen Berg,28
373,Schaller,Lea,W,38368,Rennau,Breitenbend,114
374,Schmidt,Roswita,W,14797,Kloster Lehnin,Königsberger Straße,9
375,Bühler,Martha,W,84072,Au in der Hallertau,Merianstraße,109
376,Paulsen,Britta,W,54646,Brimingen,Hammerau,190
377,Hinrichs,Konrad,M,25560,Aasbüttel,Ulmenstraße,151
378,Hofer,Georgios,M,9526,Olbernhau,Im Dehnacker,88
379,Prinz,Jean,M,24872,Groß Rheide,Am Kirchendriesch,58
380,Büchner,Merle,W,67482,Venningen,Renkerstraße,12
381,Finke,Ole,M,88512,Mengen,Josef-Ebertz-Platz,183
382,May,Matthias,M,8468,Reichenbach,Gillesweg,151
383,Beyer,Darius,M,9306,Rochlitz,Wachtelweg,27
384,Janzen,Harald,M,34359,Reinhardshagen,Zum Roten Kreuz,34
385,Kellermann,Matthias,M,79244,Münstertal/Schwarzwald,Farbmühlenstraße,11
386,Scholl,Irmgard,W,54673,Berscheid,Markt,150
387,Pieper,Lydia,W,54518,Hupperath,Von-Aue-Straße,123
388,Fink,Nancy,W,56412,Heilberscheid,Heinrich-Gossen-Straße,117
389,Funk,Hannes,M,25479,Ellerau,Schevenhüttener Straße,199
390,Kohl,Bernhard,M,7819,Lemnitz,Sophienhof,197
391,Behr,Alicia,W,99759,Niedergebra,Dunantstraße,77
392,Kurth,Marcel,M,13505,Berlin,Schützenstraße,4
393,Grabowski,Niko,M,95490,Mistelgau,Friedhofstraße,93
394,Eggert,Theresa,W,25876,Schwabstedt,Steinbißstraße,82
